,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saldanha,-33.0117,17.9442,60.85,90,12,20.47,ZA,1666558061
1,George Town,5.4112,100.3354,80.53,86,40,14.0,MY,1666557782
2,Barrow,71.2906,-156.7887,21.22,86,20,20.71,US,1666558107
3,Saskylakh,71.9167,114.0833,3.31,99,67,5.77,RU,1666558059
4,Hilo,19.7297,-155.09,80.33,71,100,6.91,US,1666558075
5,Busselton,-33.65,115.3333,55.87,91,60,10.49,AU,1666557865
6,Albany,42.6001,-73.9662,61.63,63,100,0.78,US,1666558070
7,Kavaratti,10.5669,72.642,80.91,76,77,2.3,IN,1666558469
8,Hokitika,-42.7167,170.9667,56.07,73,100,2.73,NZ,1666558469
9,Ushuaia,-54.8,-68.3,49.66,71,75,8.05,AR,1666558470
10,Kunduz,36.729,68.857,59.77,60,5,1.9,AF,1666558470
11,Nikolskoye,59.7035,30.7861,42.69,89,100,6.26,RU,1666558063
12,Cape Town,-33.9258,18.4232,68.41,76,0,24.16,ZA,1666557822
13,Atuona,-9.8,-139.0333,77.11,74,32,16.98,PF,1666558065
14,Touros,-5.1989,-35.4608,78.73,78,66,12.97,BR,1666558111
15,Province of Mantua,45.1667,10.7833,63.64,87,50,1.99,IT,1666558471
16,Warrington,53.3925,-2.5802,56.62,93,20,3.44,GB,1666558465
17,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.79,74,75,4.47,RU,1666558471
18,Sémbé,1.6481,14.5806,71.02,98,100,0.67,CG,1666558445
19,Yellowknife,62.456,-114.3525,28.92,69,75,6.91,CA,1666558076
20,Ostrołęka,53.0862,21.5757,50.94,94,47,4.97,PL,1666558472
21,Yeppoon,-23.1333,150.7333,74.98,81,30,4.32,AU,1666558210
22,Kudahuvadhoo,2.6708,72.8944,81.86,73,97,15.95,MV,1666558472
23,Namatanai,-3.6667,152.4333,80.62,71,100,3.02,PG,1666558090
24,Fomboni,-12.28,43.7425,77.32,78,0,9.28,KM,1666558226
25,Azare,11.6765,10.1948,83.37,27,20,6.98,NG,1666558472
26,Carauari,-4.8828,-66.8958,83.73,71,100,3.42,BR,1666558473
27,Kavieng,-2.5744,150.7967,81.52,69,74,3.8,PG,1666557971
28,Monte Gordo,37.1819,-7.4523,67.24,83,100,5.06,PT,1666558473
29,Nipawin,53.3668,-104.0009,39.24,56,20,19.57,CA,1666558474
30,Faisalabad,31.4167,73.0833,69.87,26,0,3.94,PK,1666558474
31,Beringovskiy,63.05,179.3167,21.97,75,33,8.61,RU,1666558257
32,Nhulunbuy,-12.2333,136.7667,83.32,77,94,10.96,AU,1666558249
33,Griffith,41.5284,-87.4237,79.14,49,0,21.85,US,1666558475
34,Hobart,-42.8794,147.3294,51.66,76,75,8.05,AU,1666558026
35,Puga,21.5833,-104.8167,73.83,84,100,4.25,MX,1666558475
36,Chui,-33.6971,-53.4616,60.84,85,34,8.9,UY,1666558130
37,Lorengau,-2.0226,147.2712,81.86,65,60,3.0,PG,1666558223
38,Nyurba,63.2842,118.3319,33.31,97,100,12.8,RU,1666558115
39,Castro,-24.7911,-50.0119,68.9,68,0,2.46,BR,1666558085
40,Rikitea,-23.1203,-134.9692,72.79,79,100,11.9,PF,1666557777
41,Bredasdorp,-34.5322,20.0403,63.64,83,84,10.6,ZA,1666558100
42,Ziro,27.6333,93.8333,55.27,60,100,2.89,IN,1666558151
43,Vondrozo,-22.8167,47.2833,63.72,91,64,1.41,MG,1666558476
44,Chitral,35.8462,71.7858,56.93,53,0,0.92,PK,1666558476
45,Geraldton,-28.7667,114.6,63.97,66,74,14.92,AU,1666558108
46,Aquiraz,-3.9014,-38.3911,82.49,77,80,11.14,BR,1666558476
47,Concepción del Oro,24.6333,-101.4167,64.27,65,100,22.39,MX,1666558477
48,Thompson,55.7435,-97.8558,35.76,60,100,11.5,CA,1666557822
49,Portland,45.5234,-122.6762,59.81,68,75,5.01,US,1666558233
50,Imbituba,-28.24,-48.6703,66.85,85,43,4.18,BR,1666558477
51,Goderich,43.7501,-81.7165,73.72,40,43,11.5,CA,1666558112
52,Puerto Ayora,-0.7393,-90.3518,73.36,85,62,5.99,EC,1666558477
53,Mar del Plata,-38.0023,-57.5575,59.02,77,40,25.01,AR,1666558122
54,Butaritari,3.0707,172.7902,79.95,78,61,7.9,KI,1666557826
